0,text,hasChild
3.418918918918919,Women choose not to have a child because they are not financially stable.,No
3.5675675675675675,Women choose not to have a child because it is expensive to raise children.,No
3.5205479452054798,Women who choose not to have a child due to financial reasons are judged.,No
3.310810810810811,Women in high income jobs choose not to have a child because they face a high <br>opportunity cost in losing potential earnings.,No
3.445945945945946,"Childless women, who are infertile, choose not to have a child because of the high cost of <br>fertility treatments or adoption.",No
3.189189189189189,Single women choose not to have a child because they cannot bear the financial <br>responsibility on their own.,No
4.712328767123288,It is perfectly reasonable for a woman to choose not to have a child.,No
3.602739726027397,"If a woman chooses not to have a child, society automatically has a negative perception her.",No
1.4657534246575343,"If a woman chooses not to have a child, she is making a poor decision.",No
4.602739726027397,A woman who chooses to not have a child is selfish.,No
2.602739726027397,"A woman who does not have a child, chooses not to because of negative stories about childbirth.",No
3.150684931506849,A woman who does not have a child chooses to do so because of negative messages about single parent households (more specifically father not present in home).,No
3.3013698630136985,"Women who do not have children make this decision because of outside influences such as family, religion, etc.",No
2.1780821917808217,"A woman who does not have a child, does so based on pressure from peers.",No
3.0136986301369864,A woman who does not have children makes this decision based on her fears that she and the other parent will have poor parenting skills.,No
4.205479452054795,Society places too much pressure on women to have children.,No
3.5753424657534247,Society perceives women in same sex relationships as unable to have children.,No
3.643835616438356,"According to traditional views, a woman is not fulfilling her role as a woman if she chooses not to have a child.",No
2.0136986301369864,A middle aged woman [35+ years old] who does not have a child is probably infertile.,No
2.835616438356164,A middle aged woman [35+ years old] who does not have a child has waited too long and will likely face health complications if she decides to have a child now.,No
2.191780821917808,Women who do not have children live longer than women who have children.,No
2.794520547945205,A woman should wait until she is physically fit before having a child.,No
1.904109589041096,"Women should not have children because it can cause health problems they did not have before, such as high blood pressure, depression, or anxiety.",No
1.8904109589041096,A woman should not have a child because the health risks outweigh the benefits.,No
2.1095890410958904,A young woman [<35 years old] should not have health concerns when considering having a child.,No
2.232876712328767,Concerns about health should not be a reason why a woman chooses not to have a child.,No
1.9726027397260275,"Many experts say the best time to get pregnant is by 30 years of age. If a woman has not had a child by then, she should not have a child because of the risks.",No
2.041095890410959,"Biologically speaking, if a woman has not had a child by her mid-thirties, it is too late.",No
25.7972972972973,,No
2.7058823529411766,Women choose not to have a child because they are not financially stable.,Yes
2.7450980392156863,Women choose not to have a child because it is expensive to raise children.,Yes
3.019607843137255,Women who choose not to have a child due to financial reasons are judged.,Yes
3.2745098039215685,Women in high income jobs choose not to have a child because they face a high <br>opportunity cost in losing potential earnings.,Yes
3.0980392156862746,"Childless women, who are infertile, choose not to have a child because of the high cost of <br>fertility treatments or adoption.",Yes
2.862745098039216,Single women choose not to have a child because they cannot bear the financial <br>responsibility on their own.,Yes
4.510204081632653,It is perfectly reasonable for a woman to choose not to have a child.,Yes
3.4,"If a woman chooses not to have a child, society automatically has a negative perception her.",Yes
1.52,"If a woman chooses not to have a child, she is making a poor decision.",Yes
4.5,A woman who chooses to not have a child is selfish.,Yes
2.08,"A woman who does not have a child, chooses not to because of negative stories about childbirth.",Yes
2.82,A woman who does not have a child chooses to do so because of negative messages about single parent households (more specifically father not present in home).,Yes
2.72,"Women who do not have children make this decision because of outside influences such as family, religion, etc.",Yes
1.98,"A woman who does not have a child, does so based on pressure from peers.",Yes
2.52,A woman who does not have children makes this decision based on her fears that she and the other parent will have poor parenting skills.,Yes
3.86,Society places too much pressure on women to have children.,Yes
3.32,Society perceives women in same sex relationships as unable to have children.,Yes
3.6,"According to traditional views, a woman is not fulfilling her role as a woman if she chooses not to have a child.",Yes
2.06,A middle aged woman [35+ years old] who does not have a child is probably infertile.,Yes
2.7,A middle aged woman [35+ years old] who does not have a child has waited too long and will likely face health complications if she decides to have a child now.,Yes
1.92,Women who do not have children live longer than women who have children.,Yes
2.64,A woman should wait until she is physically fit before having a child.,Yes
1.56,"Women should not have children because it can cause health problems they did not have before, such as high blood pressure, depression, or anxiety.",Yes
1.5,A woman should not have a child because the health risks outweigh the benefits.,Yes
2.36,A young woman [<35 years old] should not have health concerns when considering having a child.,Yes
2.36,Concerns about health should not be a reason why a woman chooses not to have a child.,Yes
1.82,"Many experts say the best time to get pregnant is by 30 years of age. If a woman has not had a child by then, she should not have a child because of the risks.",Yes
1.94,"Biologically speaking, if a woman has not had a child by her mid-thirties, it is too late.",Yes
46.21568627450981,,Yes
