Entity,Code,Year,median_age
Switzerland,CHE,1960,31.6
Switzerland,CHE,1961,31.3
Switzerland,CHE,1962,30.9
Switzerland,CHE,1963,30.7
Switzerland,CHE,1964,30.5
Switzerland,CHE,1965,30.5
Switzerland,CHE,1966,30.6
Switzerland,CHE,1967,30.6
Switzerland,CHE,1968,30.6
Switzerland,CHE,1969,30.7
Switzerland,CHE,1970,30.9
Switzerland,CHE,1971,31.1
Switzerland,CHE,1972,31.2
Switzerland,CHE,1973,31.4
Switzerland,CHE,1974,31.6
Switzerland,CHE,1975,32.0
Switzerland,CHE,1976,32.4
Switzerland,CHE,1977,32.8
Switzerland,CHE,1978,33.1
Switzerland,CHE,1979,33.5
Switzerland,CHE,1980,33.8
Switzerland,CHE,1981,34.0
Switzerland,CHE,1982,34.3
Switzerland,CHE,1983,34.6
Switzerland,CHE,1984,34.9
Switzerland,CHE,1985,35.1
Switzerland,CHE,1986,35.4
Switzerland,CHE,1987,35.5
Switzerland,CHE,1988,35.7
Switzerland,CHE,1989,35.8
Switzerland,CHE,1990,35.9
Switzerland,CHE,1991,35.8
Switzerland,CHE,1992,35.8
Switzerland,CHE,1993,35.9
Switzerland,CHE,1994,36.1
Switzerland,CHE,1995,36.3
Switzerland,CHE,1996,36.5
Switzerland,CHE,1997,36.8
Switzerland,CHE,1998,37.1
Switzerland,CHE,1999,37.4
Switzerland,CHE,2000,37.6
Switzerland,CHE,2001,37.9
Switzerland,CHE,2002,38.2
Switzerland,CHE,2003,38.6
Switzerland,CHE,2004,38.9
Switzerland,CHE,2005,39.2
Switzerland,CHE,2006,39.6
Switzerland,CHE,2007,39.9
Switzerland,CHE,2008,40.1
Switzerland,CHE,2009,40.3
Switzerland,CHE,2010,40.5
Switzerland,CHE,2011,40.7
Switzerland,CHE,2012,40.9
Switzerland,CHE,2013,41.0
Switzerland,CHE,2014,41.2
Switzerland,CHE,2015,41.2
Switzerland,CHE,2016,41.3
Switzerland,CHE,2017,41.4
Switzerland,CHE,2018,41.5
Switzerland,CHE,2019,41.6
Switzerland,CHE,2020,41.7
Switzerland,CHE,2021,41.8
